matchId,teamId,total_passes,total_shots,shots_on_target,fouls_committed,tackles,clearances,successful_events,successful_passes,eventId,total_events,pass_success_rate,shot_accuracy,possession_ratio,opponentId,goals_for,goals_against,home_away,team_name,result,result_label
2499740,1610,563,18,7,12,45,16,685,493,899,593,0.8757,0.3889,0.9494,1623,2,0,home,Chelsea,Win,2
2499740,1623,419,7,1,8,66,22,476,348,772,434,0.8305,0.1429,0.9654,1610,0,2,away,Everton,Loss,0
2499741,1628,480,15,3,9,51,8,588,416,812,504,0.8667,0.2,0.9524,10531,0,2,home,Crystal Palace,Loss,0
2499741,10531,438,6,4,7,54,14,532,369,828,451,0.8425,0.6667,0.9712,1628,2,0,away,Swansea City,Win,2
2499742,1619,486,6,3,9,74,15,557,378,926,501,0.7778,0.5,0.9701,1673,0,0,away,Southampton,Draw,1
2499742,1673,361,16,6,10,56,10,450,263,699,387,0.7285,0.375,0.9328,1619,0,0,home,Huddersfield Town,Draw,1
2499743,1609,510,8,0,10,73,14,588,432,892,528,0.8471,0.0,0.9659,1612,0,4,home,Arsenal,Loss,0
2499743,1612,476,19,10,6,47,16,565,401,786,501,0.8424,0.5263,0.9501,1609,4,0,away,Liverpool,Win,2
2499744,1611,655,18,6,9,43,13,771,587,1015,682,0.8962,0.3333,0.9604,1631,2,0,home,Manchester United,Win,2
2499744,1631,259,10,4,8,97,32,390,194,742,277,0.749,0.4,0.935,1611,0,2,away,Leicester City,Loss,0
2499745,1613,250,16,7,17,81,17,368,176,620,283,0.704,0.4375,0.8834,1633,3,0,home,Newcastle United,Win,2
2499745,1633,444,7,3,12,70,12,574,361,908,463,0.8131,0.4286,0.959,1613,0,3,away,West Ham United,Loss,0
2499746,1624,573,29,6,8,40,7,655,497,937,610,0.8674,0.2069,0.9393,1646,1,1,away,Tottenham Hotspur,Draw,1
2499746,1646,276,13,3,9,52,15,350,207,636,298,0.75,0.2308,0.9262,1624,1,1,home,Burnley,Draw,1
2499747,1644,283,8,0,7,48,17,428,230,712,298,0.8127,0.0,0.9497,1651,0,0,away,Watford,Draw,1
2499747,1651,432,14,2,19,63,12,530,370,777,465,0.8565,0.1429,0.929,1644,0,0,home,Brighton & Hove Albion,Draw,1
2499748,1627,307,10,2,10,66,11,434,242,731,327,0.7883,0.2,0.9388,1639,1,1,home,West Bromwich Albion,Draw,1
2499748,1639,425,15,3,10,63,20,562,382,827,450,0.8988,0.2,0.9444,1627,1,1,away,Stoke City,Draw,1
2499749,1609,573,15,8,14,71,13,665,467,933,602,0.815,0.5333,0.9518,1659,3,0,away,Arsenal,Win,2
2499749,1659,386,5,2,10,46,23,472,297,790,401,0.7694,0.4,0.9626,1609,0,3,home,AFC Bournemouth,Loss,0
2499750,1627,464,13,3,4,38,11,554,387,843,481,0.8341,0.2308,0.9647,1651,1,3,home,West Bromwich Albion,Loss,0
2499750,1651,431,12,6,9,68,20,488,362,731,452,0.8399,0.5,0.9535,1627,3,1,away,Brighton & Hove Albion,Win,2
2499751,1628,451,21,5,14,43,7,552,354,834,486,0.7849,0.2381,0.928,1646,0,1,away,Crystal Palace,Loss,0
2499751,1646,235,4,2,8,80,34,305,150,693,247,0.6383,0.5,0.9514,1628,1,0,home,Burnley,Win,2
2499752,1623,446,9,0,14,75,10,519,363,855,469,0.8139,0.0,0.951,1624,0,3,away,Everton,Loss,0
2499752,1624,455,15,6,13,56,17,566,387,837,483,0.8505,0.4,0.942,1623,3,0,home,Tottenham Hotspur,Win,2
2499753,1610,496,15,5,8,64,15,601,419,862,519,0.8448,0.3333,0.9557,1631,2,1,home,Chelsea,Win,2
2499753,1631,333,8,1,11,82,9,422,257,758,352,0.7718,0.125,0.946,1610,1,2,away,Leicester City,Loss,0
2499754,1612,357,4,2,9,43,15,401,278,636,370,0.7787,0.5,0.9649,1625,0,5,home,Liverpool,Loss,0
2499754,1625,717,13,10,10,53,13,795,648,1059,740,0.9038,0.7692,0.9689,1612,5,0,away,Manchester City,Win,2
2499755,1619,393,9,1,8,81,15,541,307,927,410,0.7812,0.1111,0.9585,1644,0,2,away,Southampton,Loss,0
2499755,1644,357,13,3,10,80,25,497,290,781,380,0.8123,0.2308,0.9395,1619,2,0,home,Watford,Win,2
2499756,1611,558,17,9,10,50,4,643,478,867,585,0.8566,0.5294,0.9538,1639,2,2,home,Manchester United,Draw,1
2499756,1639,308,9,5,10,69,14,390,245,680,327,0.7955,0.5556,0.9419,1611,2,2,away,Stoke City,Draw,1
2499757,1613,326,15,8,15,80,8,422,255,774,356,0.7822,0.5333,0.9157,10531,1,0,home,Newcastle United,Win,2
2499757,10531,515,8,5,11,43,9,611,426,847,534,0.8272,0.625,0.9644,1613,0,1,away,Swansea City,Loss,0
2499758,1633,288,13,2,11,56,14,408,219,653,312,0.7604,0.1538,0.9231,1673,2,0,away,West Ham United,Win,2
2499758,1673,405,10,2,14,62,19,515,333,872,429,0.8222,0.2,0.9441,1633,0,2,home,Huddersfield Town,Loss,0
2499759,1651,364,8,3,12,72,10,445,294,751,384,0.8077,0.375,0.9479,1659,1,2,away,Brighton & Hove Albion,Loss,0
2499759,1659,621,13,3,5,48,11,721,555,944,639,0.8937,0.2308,0.9718,1651,2,1,home,AFC Bournemouth,Win,2
